id,name,description,price,image_url,image_info,category
1,"""[KF365] 훈제오리 2종 (2입)""","""매일 부담 없이 먹을 수 있는 밥반찬을 고민하셨다면, 컬리가 소개하는 훈제오리를 만나보세요. 신선한 국내산 오리만 엄선해 은은한 훈연을 입혔어요. 야들야들한 식감에 감칠맛이 배어 살짝만 구워도 풍미가 일품이지요. 한 번에 먹기 딱 좋은 양을 담아 두 팩으로 나누어 포장했으니, 간편하게 즐겨보세요. 간단한 밥반찬이나 도시락 반찬은 물론, 샐러드의 토핑이나 월남쌈의 속재료 등 활용법이 무궁무진하답니다.""",6770,"""https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/23a32590-9613-4fe4-b563-f2d5d9a59b25.jpg""",https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20220520/gv00000318076_2.jpg,""""""
2,"""[거대곰탕] 곰탕""","""한국인에게 밥심 못지않게 중요한 것이 뜨끈한 국물의 힘입니다. 곰탕 한 그릇에 밥 말아 먹으면 속이 든든하게 채워져 오래 허기지지 않지요. 한우를 넣고 푹 끓이는 원리는 참으로 간단해 보이지만, 곰탕은 오랜 시간 공들여야만 시간의 맛이 제대로 밴 국물이 우러나요. 컬리가 부산을 대표하는 맛집 '거대곰탕'의 곰탕을 소개하는 까닭도 마찬가지예요. 좋은 한우로 정성껏 끓여 만든 국물 맛이 남다르기 때문이지요. 이곳은 한우 사골과 소스지 등을 정성껏 끓여 곰탕을 완성하는데요. 국물의 진한 감칠맛과 사태, 양지가 부드럽게 씹히는 맛이 일품이랍니다. 한번에 먹기 좋게 500g씩 포장했으니, 이제 집에서도 간편하게 거대곰탕을 맛보세요.""",11400,"""https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1653035519444l0.jpeg?v=0418""",https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20210823/gv20000217433_2.jpg,""""""
3,"""[KF365] 훈제오리 2종 (2입)""","""매일 부담 없이 먹을 수 있는 밥반찬을 고민하셨다면, 컬리가 소개하는 훈제오리를 만나보세요. 신선한 국내산 오리만 엄선해 은은한 훈연을 입혔어요. 야들야들한 식감에 감칠맛이 배어 살짝만 구워도 풍미가 일품이지요. 한 번에 먹기 딱 좋은 양을 담아 두 팩으로 나누어 포장했으니, 간편하게 즐겨보세요. 간단한 밥반찬이나 도시락 반찬은 물론, 샐러드의 토핑이나 월남쌈의 속재료 등 활용법이 무궁무진하답니다.""",6770,"""https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/23a32590-9613-4fe4-b563-f2d5d9a59b25.jpg""",https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20220520/gv00000318076_3.jpg,""""""
4,"""[거대곰탕] 곰탕""","""한국인에게 밥심 못지않게 중요한 것이 뜨끈한 국물의 힘입니다. 곰탕 한 그릇에 밥 말아 먹으면 속이 든든하게 채워져 오래 허기지지 않지요. 한우를 넣고 푹 끓이는 원리는 참으로 간단해 보이지만, 곰탕은 오랜 시간 공들여야만 시간의 맛이 제대로 밴 국물이 우러나요. 컬리가 부산을 대표하는 맛집 '거대곰탕'의 곰탕을 소개하는 까닭도 마찬가지예요. 좋은 한우로 정성껏 끓여 만든 국물 맛이 남다르기 때문이지요. 이곳은 한우 사골과 소스지 등을 정성껏 끓여 곰탕을 완성하는데요. 국물의 진한 감칠맛과 사태, 양지가 부드럽게 씹히는 맛이 일품이랍니다. 한번에 먹기 좋게 500g씩 포장했으니, 이제 집에서도 간편하게 거대곰탕을 맛보세요.""",11400,"""https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1653035519444l0.jpeg?v=0418""",https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20210823/gv20000217433_3.jpg,""""""
5,"""[KF365] 훈제오리 2종 (2입)""","""매일 부담 없이 먹을 수 있는 밥반찬을 고민하셨다면, 컬리가 소개하는 훈제오리를 만나보세요. 신선한 국내산 오리만 엄선해 은은한 훈연을 입혔어요. 야들야들한 식감에 감칠맛이 배어 살짝만 구워도 풍미가 일품이지요. 한 번에 먹기 딱 좋은 양을 담아 두 팩으로 나누어 포장했으니, 간편하게 즐겨보세요. 간단한 밥반찬이나 도시락 반찬은 물론, 샐러드의 토핑이나 월남쌈의 속재료 등 활용법이 무궁무진하답니다.""",6770,"""https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/23a32590-9613-4fe4-b563-f2d5d9a59b25.jpg""",https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20220520/gv00000318076_4.jpg,""""""
6,"""[거대곰탕] 곰탕""","""한국인에게 밥심 못지않게 중요한 것이 뜨끈한 국물의 힘입니다. 곰탕 한 그릇에 밥 말아 먹으면 속이 든든하게 채워져 오래 허기지지 않지요. 한우를 넣고 푹 끓이는 원리는 참으로 간단해 보이지만, 곰탕은 오랜 시간 공들여야만 시간의 맛이 제대로 밴 국물이 우러나요. 컬리가 부산을 대표하는 맛집 '거대곰탕'의 곰탕을 소개하는 까닭도 마찬가지예요. 좋은 한우로 정성껏 끓여 만든 국물 맛이 남다르기 때문이지요. 이곳은 한우 사골과 소스지 등을 정성껏 끓여 곰탕을 완성하는데요. 국물의 진한 감칠맛과 사태, 양지가 부드럽게 씹히는 맛이 일품이랍니다. 한번에 먹기 좋게 500g씩 포장했으니, 이제 집에서도 간편하게 거대곰탕을 맛보세요.""",11400,"""https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1653035519444l0.jpeg?v=0418""",https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20210823/gv20000217433_4.jpg,""""""
7,"""[KF365] 훈제오리 2종 (2입)""","""매일 부담 없이 먹을 수 있는 밥반찬을 고민하셨다면, 컬리가 소개하는 훈제오리를 만나보세요. 신선한 국내산 오리만 엄선해 은은한 훈연을 입혔어요. 야들야들한 식감에 감칠맛이 배어 살짝만 구워도 풍미가 일품이지요. 한 번에 먹기 딱 좋은 양을 담아 두 팩으로 나누어 포장했으니, 간편하게 즐겨보세요. 간단한 밥반찬이나 도시락 반찬은 물론, 샐러드의 토핑이나 월남쌈의 속재료 등 활용법이 무궁무진하답니다.""",6770,"""https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/23a32590-9613-4fe4-b563-f2d5d9a59b25.jpg""",https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20220520/gv00000318076_5.jpg,""""""
8,"""[거대곰탕] 곰탕""","""한국인에게 밥심 못지않게 중요한 것이 뜨끈한 국물의 힘입니다. 곰탕 한 그릇에 밥 말아 먹으면 속이 든든하게 채워져 오래 허기지지 않지요. 한우를 넣고 푹 끓이는 원리는 참으로 간단해 보이지만, 곰탕은 오랜 시간 공들여야만 시간의 맛이 제대로 밴 국물이 우러나요. 컬리가 부산을 대표하는 맛집 '거대곰탕'의 곰탕을 소개하는 까닭도 마찬가지예요. 좋은 한우로 정성껏 끓여 만든 국물 맛이 남다르기 때문이지요. 이곳은 한우 사골과 소스지 등을 정성껏 끓여 곰탕을 완성하는데요. 국물의 진한 감칠맛과 사태, 양지가 부드럽게 씹히는 맛이 일품이랍니다. 한번에 먹기 좋게 500g씩 포장했으니, 이제 집에서도 간편하게 거대곰탕을 맛보세요.""",11400,"""https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1653035519444l0.jpeg?v=0418""",https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20210823/gv20000217433_5.jpg,""""""
9,"""[KF365] 훈제오리 2종 (2입)""","""매일 부담 없이 먹을 수 있는 밥반찬을 고민하셨다면, 컬리가 소개하는 훈제오리를 만나보세요. 신선한 국내산 오리만 엄선해 은은한 훈연을 입혔어요. 야들야들한 식감에 감칠맛이 배어 살짝만 구워도 풍미가 일품이지요. 한 번에 먹기 딱 좋은 양을 담아 두 팩으로 나누어 포장했으니, 간편하게 즐겨보세요. 간단한 밥반찬이나 도시락 반찬은 물론, 샐러드의 토핑이나 월남쌈의 속재료 등 활용법이 무궁무진하답니다.""",6770,"""https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/23a32590-9613-4fe4-b563-f2d5d9a59b25.jpg""",https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20220520/gv00000318076_6.jpg,""""""
10,"""[거대곰탕] 곰탕""","""한국인에게 밥심 못지않게 중요한 것이 뜨끈한 국물의 힘입니다. 곰탕 한 그릇에 밥 말아 먹으면 속이 든든하게 채워져 오래 허기지지 않지요. 한우를 넣고 푹 끓이는 원리는 참으로 간단해 보이지만, 곰탕은 오랜 시간 공들여야만 시간의 맛이 제대로 밴 국물이 우러나요. 컬리가 부산을 대표하는 맛집 '거대곰탕'의 곰탕을 소개하는 까닭도 마찬가지예요. 좋은 한우로 정성껏 끓여 만든 국물 맛이 남다르기 때문이지요. 이곳은 한우 사골과 소스지 등을 정성껏 끓여 곰탕을 완성하는데요. 국물의 진한 감칠맛과 사태, 양지가 부드럽게 씹히는 맛이 일품이랍니다. 한번에 먹기 좋게 500g씩 포장했으니, 이제 집에서도 간편하게 거대곰탕을 맛보세요.""",11400,"""https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1653035519444l0.jpeg?v=0418""",https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20210823/gv20000217433_6.jpg,""""""
11,"""[KF365] 훈제오리 2종 (2입)""","""매일 부담 없이 먹을 수 있는 밥반찬을 고민하셨다면, 컬리가 소개하는 훈제오리를 만나보세요. 신선한 국내산 오리만 엄선해 은은한 훈연을 입혔어요. 야들야들한 식감에 감칠맛이 배어 살짝만 구워도 풍미가 일품이지요. 한 번에 먹기 딱 좋은 양을 담아 두 팩으로 나누어 포장했으니, 간편하게 즐겨보세요. 간단한 밥반찬이나 도시락 반찬은 물론, 샐러드의 토핑이나 월남쌈의 속재료 등 활용법이 무궁무진하답니다.""",6770,"""https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/23a32590-9613-4fe4-b563-f2d5d9a59b25.jpg""",https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20220520/gv00000318076_7.jpg,""""""
12,"""[거대곰탕] 곰탕""","""한국인에게 밥심 못지않게 중요한 것이 뜨끈한 국물의 힘입니다. 곰탕 한 그릇에 밥 말아 먹으면 속이 든든하게 채워져 오래 허기지지 않지요. 한우를 넣고 푹 끓이는 원리는 참으로 간단해 보이지만, 곰탕은 오랜 시간 공들여야만 시간의 맛이 제대로 밴 국물이 우러나요. 컬리가 부산을 대표하는 맛집 '거대곰탕'의 곰탕을 소개하는 까닭도 마찬가지예요. 좋은 한우로 정성껏 끓여 만든 국물 맛이 남다르기 때문이지요. 이곳은 한우 사골과 소스지 등을 정성껏 끓여 곰탕을 완성하는데요. 국물의 진한 감칠맛과 사태, 양지가 부드럽게 씹히는 맛이 일품이랍니다. 한번에 먹기 좋게 500g씩 포장했으니, 이제 집에서도 간편하게 거대곰탕을 맛보세요.""",11400,"""https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1653035519444l0.jpeg?v=0418""",https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20210823/gv20000217433_7.jpg,""""""
13,"""[KF365] 훈제오리 2종 (2입)""","""매일 부담 없이 먹을 수 있는 밥반찬을 고민하셨다면, 컬리가 소개하는 훈제오리를 만나보세요. 신선한 국내산 오리만 엄선해 은은한 훈연을 입혔어요. 야들야들한 식감에 감칠맛이 배어 살짝만 구워도 풍미가 일품이지요. 한 번에 먹기 딱 좋은 양을 담아 두 팩으로 나누어 포장했으니, 간편하게 즐겨보세요. 간단한 밥반찬이나 도시락 반찬은 물론, 샐러드의 토핑이나 월남쌈의 속재료 등 활용법이 무궁무진하답니다.""",6770,"""https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/23a32590-9613-4fe4-b563-f2d5d9a59b25.jpg""",https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20220520/gv00000318076_8.jpg,""""""
14,"""[거대곰탕] 곰탕""","""한국인에게 밥심 못지않게 중요한 것이 뜨끈한 국물의 힘입니다. 곰탕 한 그릇에 밥 말아 먹으면 속이 든든하게 채워져 오래 허기지지 않지요. 한우를 넣고 푹 끓이는 원리는 참으로 간단해 보이지만, 곰탕은 오랜 시간 공들여야만 시간의 맛이 제대로 밴 국물이 우러나요. 컬리가 부산을 대표하는 맛집 '거대곰탕'의 곰탕을 소개하는 까닭도 마찬가지예요. 좋은 한우로 정성껏 끓여 만든 국물 맛이 남다르기 때문이지요. 이곳은 한우 사골과 소스지 등을 정성껏 끓여 곰탕을 완성하는데요. 국물의 진한 감칠맛과 사태, 양지가 부드럽게 씹히는 맛이 일품이랍니다. 한번에 먹기 좋게 500g씩 포장했으니, 이제 집에서도 간편하게 거대곰탕을 맛보세요.""",11400,"""https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1653035519444l0.jpeg?v=0418""",https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20210823/gv20000217433_8.jpg,""""""
15,"""[KF365] 훈제오리 2종 (2입)""","""매일 부담 없이 먹을 수 있는 밥반찬을 고민하셨다면, 컬리가 소개하는 훈제오리를 만나보세요. 신선한 국내산 오리만 엄선해 은은한 훈연을 입혔어요. 야들야들한 식감에 감칠맛이 배어 살짝만 구워도 풍미가 일품이지요. 한 번에 먹기 딱 좋은 양을 담아 두 팩으로 나누어 포장했으니, 간편하게 즐겨보세요. 간단한 밥반찬이나 도시락 반찬은 물론, 샐러드의 토핑이나 월남쌈의 속재료 등 활용법이 무궁무진하답니다.""",6770,"""https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/23a32590-9613-4fe4-b563-f2d5d9a59b25.jpg""",https://img-cf.kurly.com/hdims/resize/%3E720x/quality/90/src/shop/data/goodsview/20220520/gv00000318076_9.jpg,""""""
